WASP-33 b	2.8	1.603	1.21986967	0.02558	0	87.7	0.000221	2010	2020-07-13
HIP 67522 b	—	0.8984	6.959503	—	0.059	89.34	—	2020	2020-05-04
NGTS-11 b	0.37	0.823	35.455285	0.2	0.11	89.12	—	2020	2020-05-04
2M1059-21 b	66.95	—	690	0.8	0.146	32.9	—	2020	2020-05-01
HD 195689 b	2.88	1.84	1.4811235	0.03368	—	87.2	—	2017	2020-05-01
WASP-148 b	0.29	0.72	8.80381	0.0845	0.22	89.8	—	2020	2020-05-01
WASP-148 c	—	—	34.516	0.21	0.359	—	—	2020	2020-05-01
WASP-52 b	0.46	1.27	1.7497798	0.0272	0	85.35	—	2011	2020-04-30
WASP-69 b	0.26	1.057	3.8681382	0.04525	0	86.71	—	2011	2020-04-30
WISEA J083011.95+283716.0	8.5	—	—	—	—	—	—	2020	2020-04-28
GJ 3470 b	0.03958	0.37380742940036	3.336649	0.03557	0.114	88.3	—	2012	2020-04-28
HD108236 b	—	0.14149	3.79523	0.0469	0.2	87.88	—	2020	2020-04-24
HD108236 c	—	0.1845	6.2037	0.651	0.18	88.72	—	2020	2020-04-24
HD108236 e	—	3.12	19.5917	0.14	0.2	89.32	—	2020	2020-04-24
HD108236 d	—	0.2427	14.17555	0.1131	0.17	89.22	—	2020	2020-04-24
2I/Borisov	—	0.000062	—	—	3.155	—	—	2019	2020-04-22
TOI-421 b	0.05107	0.4612	16.06815	0.1182	—	88.3	—	2020	2020-04-22
TOI-421 c	0.02218	0.2427	5.19676	0.0557	—	85.6	—	2020	2020-04-22
MASCARA-2 b/KELT-20 b	3.518	1.83	3.4741085	0.0542	—	86.2	—	2017	2020-04-21
OGLE-2017-BLG-0406 b	0.41	—	—	3.5	—	—	—	2020	2020-04-21
WASP-4 b	1.1974	1.3846	1.338231602	0.02312	0.0053	88.87	0.000077	2007	2020-04-21
CFBD 1458 B	10.5	—	—	—	—	—	—	2011	2020-04-20
HAT-P-7 b	1.741	1.431	2.204735471	0.0379	0	81.1	0.000118	2008	2020-04-20
TrES-2 A b	1.253	1.189	2.4706133738	0.03555	0	83.908	0.000162	2006	2020-04-20
WASP-150 b	8.46	1.07	5.644207	0.0694	0.3775	84.01	—	2020	2020-04-18
DW Lyn b	—	—	1450	1.148	—	—	—	2013	2020-04-18
Kepler-97 b	0.01104	0.13097	2.586638081	—	—	—	—	2014	2020-04-17
WASP-18 b	10.4296	1.165	0.9414518	0.02047	0.0088	86	0.000205	2009	2020-04-17
KELT-11 b	0.195	1.3	4.736529	0.06229	0	85.8	—	2016	2020-04-16
KIC 10255705 b	—	0.65	707.3793	1.6	0	89.75	—	2013	2020-04-16
K0I-1783 c	0.0472	0.4853	284.060953	0.8539	—	89.95	—	2017	2020-04-16
K0I-1783 b	0.2234	0.7904	134.4786723	0.5187	—	89.4413	—	2017	2020-04-16
Kepler-1649 c	—	0.0946	19.5	—	—	—	—	2020	2020-04-16
WASP-176 b	0.855	1.505	3.899052	0.0535	0	86.7	—	2020	2020-04-15
KOI-368 b	—	1.83	110.3216	0.581	—	89.221	—	2014	2020-04-15
KOI-4427.01	—	0.164	147.6606	0.419	0.02	89.97	—	2015	2020-04-15
TOI-1235 b	0.0186	0.15113	3.444717	0.03826	—	88.9	—	2020	2020-04-15
Kepler-99 b	0.01935	0.1348	4.603575314	—	—	—	—	2014	2020-04-14
VHS 1256-1257 b	19	—	—	102	—	—	—	2015	2020-04-14
Kepler-448 c	22	—	2500	4.2	0.65	—	—	2017	2020-04-14
K2-168 c	—	0.11687	8.050722	0.06231	—	89.81	—	2019	2020-04-13
Kepler-391 c	1.416	0.2569	20.501	0.164	0.27	87.27	—	2014	2020-04-13
Kepler-10 c	0.0541	0.2097	45.294301	0.241	0.05	89.59	0.001391	2011	2020-04-13
K2-137 b	0.7	0.079	0.179715	0.0058	—	89.6	—	2017	2020-04-13
Kepler-391 b	—	0.02543	7.4175	0.083	0.46	85.5	—	2014	2020-04-13
2MASS J10475385+2124234	42	—	—	—	—	—	—	1999	2020-04-11
HD 97658 b	0.02457	0.20047	9.489295	0.08	0.03	89.6	0.003777	2010	2020-04-09
TRAPPIST-1 d	0.0013	0.0689	4.04961	0.02144	0	89.75	—	2016	2020-04-09
TRAPPIST-1 c	0.00434	0.09421	2.4218233	0.01521	0	89.67	—	2016	2020-04-09
TRAPPIST-1 b	0.0027	0.09689	1.51087081	0.01111	0	89.65	—	2016	2020-04-09
Kepler-452 b	—	0.145	384.843	1.046	0.035	89.806	—	2015	2020-04-08
Kepler-417 b	0.0346	0.2061	12.33090437	—	—	—	—	2014	2020-04-08
Kepler-416 b	0.1831	0.2213	6.319	—	—	—	—	2014	2020-04-08
Kepler-415 b	0.3772	0.1079	4.176	—	—	—	—	2014	2020-04-08
Kepler-414 b	0.011	0.1526	4.7	—	—	—	—	2014	2020-04-08
Kepler-414 c	0.0941	0.2685	7.171	—	—	—	—	2014	2020-04-08
Kepler-49 c	0.01032	0.1838	10.9123	—	—	—	—	2012	2020-03-31
Kepler-49 b	0.016015	0.2097	7.204	—	—	—	—	2012	2020-03-31
Kepler-105 c	0.01447	0.1169	7.1262	0.072	—	—	—	2014	2020-03-31
Kepler-26 b	0.01611	0.248	12.2796	0.085	—	—	—	2012	2020-03-31
Kepler-57 c	0.01787	0.124	11.6092567	—	—	—	—	2012	2020-03-31
Kepler-57 b	0.07278	0.1677	5.7293196	—	—	—	—	2012	2020-03-31
MOA-2015-BLG-337 b	0.106	—	—	0.24	—	—	—	2018	2020-03-31
MOA-2015-BLG-337 a	9.8	—	—	0.24	—	—	—	2018	2020-03-31
OGLE-2015-BLG-1649 b	2.54	—	—	2.07	—	—	—	2019	2020-03-31
KMT-2016-BLG-0212 b	—	—	—	—	—	—	—	2018	2020-03-30
OGLE-2017-BLG-0482 b	9	—	—	1.8	—	—	—	2018	2020-03-30
OGLE-2017-BLG-0896	19	—	—	—	—	—	—	2019	2020-03-30
OGLE-2017-BLG-0373L b	—	—	—	—	—	—	—	2018	2020-03-30
OGLE-2016-BLG-1540	—	—	—	—	—	—	—	2018	2020-03-30
OGLE-2016-BLG-0263L b	4.1	—	—	6.5	—	—	—	2017	2020-03-30
TOI-1338	30.2	0.5986	95.141	0.4491	0.093	89.22	—	2020	2020-03-30
GJ 15A b	—	—	11.4407	0.072	0.094	—	—	2014	2020-03-29
HD 158259 c	—	—	3.432037	—	—	—	—	2019	2020-03-28
HD 158259 d	—	—	5.198	—	—	—	—	2019	2020-03-28
HD 158259 f	—	—	12.03	—	—	—	—	2019	2020-03-28
HD 158259 e	—	—	7.954	—	—	—	—	2019	2020-03-28
HD 158259 b	0.0085	0.107	2.178	—	—	—	—	2020	2020-03-28
WASP-178 b	1.41	1.94	3.3448285	0.0558	0	85.7	—	2019	2020-03-27
HD 332231 b	0.244	0.867	18.71204	0.1436	0.032	89.68	—	2020	2020-03-27
HD 95338 b	0.12406	0.3551	55.086	0.231	0.199	89.35	—	2020	2020-03-27
KELT-25 b	21	1.642	4.401131	0.0681	—	85.37	—	2020	2020-03-26
Kepler-37 d	0.0384	0.173	39.792187	0.2076	—	89.335	—	2013	2020-03-25
Kepler-37 c	0.038	0.067	21.301886	0.1368	—	89.07	—	2013	2020-03-25
Kepler-105 b	0.016	0.24998	5.412	0.0609	0.47	85.94	—	2014	2020-03-25
Kepler-122 f	0.113	0.1561	56.268	—	—	—	—	2014	2020-03-25
1I/'Oumuamua	—	0.000002	—	—	1.196	—	—	2017	2020-03-25
HD 79211 b	—	—	24.45	0.141	0.11	—	—	2020	2020-03-25
TOI-849 b	0.12831	0.30752	0.76552398	0.01598	0	86.8	—	2020	2020-03-24
2M1510A b	39.3	1.57	20.902	0.063	0.31	88.5	—	2020	2020-03-24
2M1510A a	40	1.57	20.902	0.063	0.31	88.5	—	2020	2020-03-24
KOI-192 b	0.29	1.23	10.290994	0.091	0.57	89.5	—	2014	2020-03-23
KOI-195 b	0.34	1.09	3.21751883	0.0414	0.18	85.74	—	2014	2020-03-23
KOI-188 b	0.25	0.978	3.79701816	0.0464	0.33	87.02	—	2014	2020-03-23
TOI-1130 b	—	0.3256	4.066499	0.04394	0.22	87.98	—	2020	2020-03-20
TOI-1130 c	0.974	1.5	8.350381	0.07098	0.047	87.43	—	2020	2020-03-20
MOA 2009-BLG-411L b	53	—	—	0.15	—	—	—	2012	2020-03-19
Kepler-1659 c	0.022	0.17	13.6163456	0.112293	0.0114	73.34	—	2017	2020-03-19
Kepler-1659 b	0.0113	0.17	20.4415	0.14728	0.014	89.78	—	2017	2020-03-19
Kepler-1657 b	1.93	0.99	141.241671	0.534	0.496	89.892	—	2017	2020-03-17
Kepler-1654 b	—	0.819	1047.8356	2.026	0.26	89.982	—	2017	2020-03-17
Kepler-1653 b	—	0.22107	140.2524	0.4706	—	89.788	—	2017	2020-03-17
Kepler-65 e	0.82	—	258.8	—	0.28	127	—	2019	2020-03-14
HIP 65A b	3.213	2.03	0.9809734	0.01782	0	77.18	—	2020	2020-03-13
TOI-157 b	1.18	1.286	2.0845435	0.0318	0	82.01	—	2020	2020-03-13
TOI-169 b	0.791	1.086	2.2554477	0.03524	0	80.98	—	2020	2020-03-13
K2-146 c	0.02357	0.1954	4.00498	0.034	0.075	87.54	—	2019	2020-03-13
K2-198 d	—	0.21751	7.4500177	0.05234	—	89.86	—	2019	2020-03-12
K2-198 c	—	0.12695	3.3596055	0.03077	—	86.494	—	2019	2020-03-12
K2-198 b	—	0.37372	17.0428683	0.09083	—	88.904	—	2019	2020-03-12
K2-168 b	—	0.1659	15.8523	0.0979	—	—	—	2019	2020-03-12
K2-43 c	—	0.2159	2.198884	0.0148	—	89.26	—	2019	2020-03-12
K2-43 b	—	0.4024	3.471149	0.0201	—	89.6	—	2019	2020-03-12
HD 179949 b	—	1.05	3.0925	0.045	0.0104	—	0.001667	2000	2020-03-12
55 Cnc e	0.02703	0.1737	0.7365478	0.015439	0.028	90.36	0.001264	2004	2020-03-12
K2-146 b	0.01815	0.182	2.64461662195	0.027	—	88.946558395	—	2017	2020-03-12
LHS 1815 b	0.0132	0.09707	3.81433	0.0404	0	88.125	—	2020	2020-03-11
HD 233832 b	—	—	4047	4.438	0.381	—	—	2018	2020-03-09
HD 220197 b	—	—	1728	2.729	0.187	—	—	2018	2020-03-09
OGLE-2018-BLG-0677L b	0.01246	—	—	0.63	—	—	—	2020	2020-03-09
BD+48 740 b	—	—	733	1.7	0.76	—	—	2012	2020-03-08
HD 238914 b	—	—	4100	5.7	0.56	—	—	2018	2020-03-08
HD 221416 b	0.1904	0.836	14.2767	0.1228	0.115	85.75	—	2019	2020-03-08
WASP-190 b	1	1.15	5.367753	0.0663	—	87.1	—	2018	2020-03-08
WASP-126 c	0.202	—	7.63	—	0.025	—	—	2019	2020-03-08
WASP-18 c	0.1737	—	2.1558	—	0.009	—	—	2019	2020-03-08
LP 791-18 c	—	0.2061	4.989963	0.029392	—	89.55	—	2019	2020-03-08
TOI-263 b	—	0.83	0.556814	0.01	—	86.96	—	2019	2020-03-07
PSR J2055+3829 b	39	—	0.12959037293	—	0.000014	—	—	2019	2020-03-07
KELT-22A b	3.69	1.2	1.38665318	0.0248	0	85.2	—	2018	2020-03-06
HD 43691 A b	—	—	36.99913	0.238	0.085	—	0.002575	2007	2020-03-06
GJ 143 c	0.01164	0.07958	7.78993	0.0695	—	88.9	—	2018	2020-03-06
HD 179079 b	—	—	14.4708	0.1214	0.115	—	0.001727	2009	2020-03-06
HD 9446 c	—	—	189.6	0.646	0.071	—	0.01234	2010	2020-03-06
HD 9446 b	—	—	30.0608	0.1892	0.214	—	0.003566	2010	2020-03-06
KMT-2019-BLG-1339/OGLE-2019/BLG-1019 b	12.2	—	—	0.67	—	—	—	2020	2020-03-06
TYC 8998-760-1 b	14	3	—	162	—	—	—	2020	2020-03-04
CWISEP J1935-1546	11	—	—	—	—	—	—	2019	2020-03-04
HAT-P-70 b	6.78	1.87	2.74432452	0.04739	0	96.5	—	2019	2020-03-04
HAT-P-69 b	3.58	1.676	4.7869491	0.06555	0	87.19	—	2019	2020-03-04
TOI-125 c	0.02086	0.24614	9.15059	0.0814	0.066	88.54	—	2019	2020-03-04
TOI-125 d	0.0428	0.2614	19.98	0.137	0.168	88.795	—	2019	2020-03-04
TOI-125 b	0.0299	0.2432	4.65382	0.05186	0.194	88.92	—	2019	2020-03-04
LTT 3780 b	0.00982	0.11883	0.7683881	0.012	0.064	85.9	—	2020	2020-03-04
LTT 3780 c	0.0267	0.205	12.252048	0.077	0.115	89.08	—	2020	2020-03-04
HD 209458 b	0.69	1.38	3.52472	0.04747	0.0082	86.59	0.00101	1999	2020-03-02
HD 136118 b	42	—	1209	1.45	0.352	163.1	0.027725	2002	2020-02-28
HIP 41378 f	—	0.91	542	—	—	—	—	2016	2020-02-27
HD 285507 b	—	—	6.0962	0.0729	0.023	—	—	2013	2020-02-26
HD 13724 b	50.5	—	44926	26.3	0.63	58.6	—	2019	2020-02-20
TRAPPIST-1 e	0.002	0.0819	6.099615	0.02817	0	89.86	—	2017	2020-02-17
TRAPPIST-1 f	0.0021	0.09323	9.20669	0.0371	0	89.68	—	2017	2020-02-17
